,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,마포구,26235884,피오니 홍대점,3.7,161건,서울 마포구 독막로7길 51 1층,마포구 서교동,영업시간&매일 12:00 ~ 21:00&매일 라스트오더 ~ 20:30,02-333-5325,blog.naver.com/peonysdream,#카페 ,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 녹차 가격: 5,000++메뉴 이름: 딸기 쥬스 가격: 6,000++메뉴 이름: 녹차라떼 가격: 4,500++메뉴 이름: 딸기 빙수 가격: 9,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F276E0A4C550A37652A,126.9197632,37.55008322
1,마포구,447132083,어반플랜트 합정,4.2,214건,"서울 마포구 독막로4길 3 1, 2층",마포구 합정동,영업시간&매일 10:00 ~ 21:00&공휴일&10:00 ~ 21:00,070-4192-0378,urbanplant.co.kr,#카페 #데이트코스 #브런치카페 #식물카페,"메뉴 이름: Special Caprese 가격: 15,800++메뉴 이름: Tomato Bruschetta 가격: 13,800++메뉴 이름: Signature Omelet 가격: 14,300++메뉴 이름: Penne Arrabbiata 가격: 15,800++메뉴 이름: Savoy Tiramisu 가격: 8,000++메뉴 이름: Matcha Chocolate 가격: 8,000++메뉴 이름: Sangria Tea 가격: 7,500++메뉴 이름: Urban Chichen Sandwich 가격: 14,500++메뉴 이름: Espresso 가격: 4,000++메뉴 이름: Americano 가격: 5,000++메뉴 이름: Caffe Latte 가격: 5,500++메뉴 이름: Flat White 가격: 6,000++메뉴 이름: Cappuccino 가격: 6,000++메뉴 이름: Vanilla Latte 가격: 6,000++메뉴 이름: Hazelnut Latte 가격: 6,000++메뉴 이름: Maple Latte 가격: 6,000++메뉴 이름: Caramel Macchiato 가격: 6,500++메뉴 이름: Caffe Mocha 가격: 6,500++메뉴 이름: Einspanner 가격: 6,500++메뉴 이름: Cheese Avocada Omelet 가격: 14,300",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1152174062,126.9171906,37.54789596
2,마포구,24529429,프ㅤㄹㅣㄷ츠 도화점,3.9,239건,서울 마포구 새창로2길 17,마포구 도화동,"영업시간&월~금 08:00 ~ 21:00&토,일 10:00 ~ 21:00&공휴일&10:00 ~ 22:00&휴무일&명절",02-3275-2045,fritz.co.kr,#디저트카페 #레트로풍 #베이커리카페 #빈티지분위기 #카카오페이 #제로페이,"메뉴 이름: 크림치즈빵 가격: 4,900++메뉴 이름: 소보로빵 가격: 1,900++메뉴 이름: 우유식빵 가격: 4,600++메뉴 이름: 블루베리파이 가격: 4,500++메뉴 이름: 산딸기 크루아상 가격: 4,100++메뉴 이름: 빵오 누텔라 가격: 4,600++메뉴 이름: 아메리카노 가격: 4,600++메뉴 이름: 카페라테 가격: 5,000++메뉴 이름: 프ㅤㄹㅣㄷ츠 에일 가격: 5,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDF4564648868448FA1AE48DE9DF54FC7,126.9490718,37.5410185
3,마포구,966554753,땡스오트 연남점,4.2,93건,서울 마포구 성미산로23길 68,마포구 연남동,영업시간&매일 11:00 ~ 20:00,02-3144-0890,blog.naver.com/thanksoat,#디저트카페 #로스팅전문 #애견동반식당 #요거트카페 #제로페이,"메뉴 이름: 넛츠 판타지 가격: 6,000++메뉴 이름: 바나나 푸딩 가격: 7,000++메뉴 이름: 퀴노아 마숫 라떼 가격: 6,000++메뉴 이름: 꿀 자몽 에이드 가격: 6,700++메뉴 이름: 100% 수박쥬스 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDA7CFA8F7B0B45639345A0FA3D3421C6,126.9198988,37.56627657
4,마포구,922091993,비파티세리 공덕점,4,82건,서울 마포구 마포대로14길 4 1층,마포구 공덕동,영업시간&매일 10:00 ~ 22:00,02-702-1220,www.bpatisserie.co.kr,#카페 #로스팅전문 #베이커리카페 #핸드드립전문점,"메뉴 이름: 아메리카노 가격: 5,500++메뉴 이름: 라떼 가격: 6,000++메뉴 이름: 초콜릿 밀크 가격: 7,000++메뉴 이름: 카푸치노 가격: 6,000++메뉴 이름: 아포가토 가격: 6,500++메뉴 이름: 퀸아망 클래식 가격: 4,800++메뉴 이름: 퀸아망 초콜릿 가격: 5,500++메뉴 이름: 퀸아망 얼그레이 가격: 5,500++메뉴 이름: 퀸아망 믹스베리 크림치즈 가격: 5,500++메뉴 이름: 뺑 스위스 가격: 4,500++메뉴 이름: 커스터드 아몬드 크로아상 가격: 5,000++메뉴 이름: 시나몬 롤 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2707962C52874A3CB7D6EB60C0023D23,126.9550802,37.54863357
5,마포구,502958473,레이어드 연남점,2.5,141건,서울 마포구 성미산로 161-4,마포구 연남동,영업시간&매일 11:00 ~ 23:00,,www.instagram.com/cafe_layered,#디저트카페 ,"메뉴 이름: Americano 가격: 5,000++메뉴 이름: Cafe Latte 가격: 6,000++메뉴 이름: Einspanner 가격: 6,500++메뉴 이름: Earlgrey milk tea 가격: 6,500++메뉴 이름: Victoria cake 가격: 7,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF1AA99755B384378AF19C4AE1C475FB3,126.9241925,37.5649827
6,마포구,53292857,943킹스크로스,3.6,115건,서울 마포구 양화로16길 24,마포구 서교동,영업시간&월~목 11:30 ~ 21:30&금~일 11:30 ~ 22:00,02-3144-2112,,#카페 #이색카페 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F676A0FDC95034AF08D71B975760DC6E1,126.920805,37.55298049
7,마포구,657926243,앤트러사이트 서교점,3.5,148건,서울 마포구 월드컵로12길 11,마포구 서교동,영업시간&매일 09:00 ~ 22:00,02-336-7650,anthracitecoffee.com,#카페 #핸드드립전문점,"메뉴 이름: 핸드드립 커피 가격: 7,000++메뉴 이름: 모카포트 커피 가격: 7,000++메뉴 이름: 말차밀크 가격: 9,000++메뉴 이름: 카카오밀크 가격: 9,000&",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDF67BED49B5D4131BC57056E72E85787,126.9116848,37.55551442
8,마포구,12518512,앤트러사이트 합정점,3.5,132건,서울 마포구 토정로5길 10,마포구 합정동,"영업시간&월,화,수,목,금,일 09:00 ~ 23:00&토 09:00 ~ 24:00",02-336-7850,www.anthracitecoffee.com,#커피전문점 #로스팅전문 #빈티지분위기,"메뉴 이름: 아메리카노(HOT) 가격: 5,000++메뉴 이름: 카페라떼(HOT) 가격: 5,500++메뉴 이름: 플랫화이트(HOT) 가격: 5,500++메뉴 이름: 카페모카(HOT) 가격: 6,000++메뉴 이름: 카푸치노(HOT) 가격: 5,500",,126.918264,37.54579778
9,마포구,1797970569,카페공명,3.8,81건,서울 마포구 연희로 11 한국특허정보원빌딩 1층,마포구 서교동,영업시간&매일 10:00 ~ 22:00,070-8869-6304,www.feelmgroup.com,#카페 #공부하기좋은 #베이커리카페 #이색카페,"메뉴 이름: 초코나무숲 스콘 가격: 5,500++메뉴 이름: 황치즈 스콘 가격: 4,900++메뉴 이름: 딸기가 좋아 (생크림 딸기 케이크) 가격: 9,500++메뉴 이름: 우유생크림 스콘 가격: 4,500++메뉴 이름: 비스킷 슈 가격: 3,200++메뉴 이름: 공명 티라미수 가격: 8,000++메뉴 이름: 라즈베리쨈 스콘 가격: 4,800++메뉴 이름: 바닐라 까눌레(1개) 가격: 2,500++메뉴 이름: 초코 까눌레(1개) 가격: 2,700++메뉴 이름: 플레인 스콘 가격: 3,400++메뉴 이름: 브라우니 가격: 3,800++메뉴 이름: 레드벨벳 크림치즈쿠키 (1개) 가격: 3,200++메뉴 이름: 피칸 초코 쫀득쿠키 (1개) 가격: 2,800++메뉴 이름: 마카다미아 크랜베리 쫀득쿠키 (1개) 가격: 2,800++메뉴 이름: 인절미가 쑥쑥 가격: 7,400++메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,500++메뉴 이름: 바닐라빈 라떼 가격: 6,000++메뉴 이름: 공명 밀크티 가격: 6,500++메뉴 이름: 레몬에이드 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1919726515,126.9263312,37.55990845
