,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,Unnamed: 12
0,강서구,1943025765,고양이정원,2.7,114건,서울 강서구 개화동로19길 18 1층,강서구 방화2동,영업시간&월~금 11:00 ~ 01:00&토 10:30 ~ 01:00&일 10:30 ~ 21:00&휴무일&연중무휴,02-2665-4507,www.catlover-garden.com,#고양이카페 #고양이카페 #데이트코스,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F052DA572D1F340B4BE1119CF72066FD1,
1,강서구,1688973510,카페우드진,3.7,27건,서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호,강서구 가양1동,"영업시간&월~금 07:00 ~ 21:00&토,일 12:00 ~ 21:00",02-6052-0116,www.instagram.com/cafewoodjean_magok,#카페 #감성카페 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 (R) 가격: 3,000&메뉴 이름: 카페라떼 (R) 가격: 3,500&메뉴 이름: 아이스티 (R) 가격: 3,500&메뉴 이름: 프렌치 얼그레이 (L) 가격: 3,300&메뉴 이름: 토피넛 라떼 (R) 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7603D210BE4F471693B10188D79FEAF7,
2,강서구,23149226,뚜스뚜스 등촌점,2.9,52건,서울 강서구 공항대로45길 92 1층,강서구 등촌1동,영업시간&매일 07:00 ~ 01:00&휴무일&연중무휴,02-3663-0000,www.toustous.co.kr,#카페 #브런치카페 #카카오페이 #제로페이,"메뉴 이름: 에스프레소 가격: 4,000&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 자몽 생과일 주스 가격: 5,500&메뉴 이름: 키위 생과일 주스 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB930885FE6F5432481441712468D5BBF,
3,강서구,16682720,고양이똥,3.8,37건,서울 강서구 공항대로59가길 13,강서구 등촌1동,영업시간&매일 11:00 ~ 22:00&공휴일&11:00 ~ 22:00,02-6013-1281,m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&oquery=&tqi=hBaSSdprvAKssMpOUiGssssssTw-459762&query=고양이똥,#테마카페 #데이트코스 #브런치카페 #제로페이,"메뉴 이름: 아란치니 가격: 12,500",,
4,강서구,851969193,브루클린커피,3.9,51건,서울 강서구 강서로52길 16 1층,강서구 우장산동,영업시간&매일 07:00 ~ 23:00,02-3664-5595,www.instagram.com/brooklyncoffee_official,#커피전문점 #로스팅전문 #제로페이,"메뉴 이름: 아메리카노 가격: 3,000&메뉴 이름: 베퍼드 라떼 가격: 3,500&메뉴 이름: 진심 밀크티 가격: 5,000&메뉴 이름: 꿀 아메리카노 가격: 3,500&메뉴 이름: 아인슈페너 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F643EC673E0BA4934A5D8CC241B84BDBA,
5,강서구,1771238411,소장식물전,4.1,24건,서울 강서구 공항대로2길 36,강서구 공항동,"영업시간&수~일 12:00 ~ 19:00&휴무일&월,화요일",,www.instagram.com/sosiksosik,#카페 #감성카페 #빈티지분위기 #주택개조카페,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 플랫화이트 가격: 4,500&메뉴 이름: 초코라떼 가격: 5,000&메뉴 이름: 유자 에이드 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F62104892B24B497996E61715DED1EE19,
6,강서구,837824252,고양이똥 3호점,3.7,19건,서울 강서구 공항대로45길 30 1층,강서구 등촌1동,영업시간&매일 09:00 ~ 22:00,02-2694-0285,,#카페 #로스팅전문 #핸드드립전문점 #제로페이,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 바닐라빈라떼 가격: 6,000&메뉴 이름: 모카라떼 가격: 6,000&메뉴 이름: 오렌지콜라보 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF70AA3A940E9413195475B3BF91A9F80,
7,강서구,2117253986,헤리스헤이스,4.7,45건,서울 강서구 마곡동로3길 26 1층 103호,강서구 가양1동,"영업시간&월~금 09:00 ~ 18:00&토 10:00 ~ 17:00&휴무일&일요일&이용시 주의 사항&9월19일(일요일 하루 정상영업: 10am-5pm)추석 전날,당일 휴무",010-8863-9532,www.instagram.com/harrishuis,#커피전문점 #제로페이,"메뉴 이름: AMERICANO 가격: 3,500&메뉴 이름: FLAT WHITE 가격: 4,000&메뉴 이름: CAFE LATTE 가격: 4,000&메뉴 이름: VANNILA LATTE 가격: 4,500&메뉴 이름: HARRIS LATTE 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F87AA9712F61E487381E0BCFAF3591D40,
8,강서구,27417322,브런치팩토리,3.3,24건,서울 강서구 마곡중앙로 36 마곡엠밸리15단지상가 102호,강서구 발산1동,영업시간&매일 08:30 ~ 21:00,070-4136-2631,,#디저트카페 #브런치카페 #제로페이,"메뉴 이름: 더블 치즈버섯브레드 가격: 8,300&메뉴 이름: 에그베이컨 파니니 가격: 7,500&메뉴 이름: 치아바타 모짜렐라 토마토 샌드위치 가격: 8,500&메뉴 이름: 치아바타 바질 그린샌드위치 가격: 8,900&메뉴 이름: 팩토리 콥-샐러드 가격: 8,900",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3E00118B11C540E58208B62E77A796CD,
9,강서구,440767015,구도커피,4.7,33건,"서울 강서구 등촌로35길 121 1,2층",강서구 등촌2동,영업시간&매일 11:00 ~ 21:00,02-6348-2460,www.instagram.com/gudocoffee,#커피전문점 #앤틱한 #핸드드립전문점,"메뉴 이름: 핸드드립커피 가격: 6,500&메뉴 이름: 아인슈페너 가격: 8,000&메뉴 이름: 콜드브루 (Ice) 가격: 6,500&메뉴 이름: 초록유자수 가격: 6,500&메뉴 이름: 구름홍차 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7A9E19FA881E4258A482DEE4CD76E4B1,
10,강서구,1606956635,이층창가,3.6,14건,서울 강서구 까치산로 46 2층,강서구 화곡본동,영업시간&화~토 12:00 ~ 21:00&일 12:00 ~ 18:00&휴무일&월요일,02-2603-3342,,#디저트카페 #감성카페 #수제초콜릿 #제로페이,"메뉴 이름: 아메리카노 가격: 3,000&메뉴 이름: 아메리카노+생초코 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 그린티 크림 라떼 가격: 5,000&메뉴 이름: 밀크티 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F43D8F78090D04BEDAD8FCF1089BBCCBE,
11,강서구,1524391732,카페움플레이트,4.1,16건,서울 강서구 마곡중앙1로 72 마곡엠밸리10단지 1014동 상가1층 101호,강서구 공항동,영업시간&월~금 09:30 ~ 21:00&토 11:30 ~ 20:30&일 11:00 ~ 20:30,02-2662-5881,www.um-plate.com,#커피전문점 #제로페이,"메뉴 이름: 아메리카노 HOT 가격: 3,000&메뉴 이름: 아메리카노 ICE 가격: 3,500&메뉴 이름: 카페라떼 HOT 가격: 3,500&메뉴 이름: 카페라떼 ICE 가격: 4,000&메뉴 이름: 카푸치노 HOT 가격: 3,500&메뉴 이름: 카푸치노 ICE 가격: 4,000&메뉴 이름: 유자에이드 가격: 4,500&메뉴 이름: 자몽에이드 가격: 4,500&메뉴 이름: 레몬에이드 가격: 4,500&메뉴 이름: 생강에이드 가격: 4,500&메뉴 이름: 레몬생강에이드 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2340904858A3F62A3F,
12,강서구,1445156015,광화문살롱,3.1,28건,"서울 강서구 공항대로45길 63 1층 105,106호",강서구 등촌1동,영업시간&매일 07:30 ~ 22:00&공휴일&07:30 ~ 22:00,02-2668-3966,www.instagram.com/gwanghwamunsalon,#카페 #디저트카페 #베이커리카페 #테라스가있는 #카카오페이 #제로페이,"메뉴 이름: 무설탕 쌀빵 가격: 3,800&메뉴 이름: 광팥빵 가격: 1,800&메뉴 이름: 몽블랑 가격: 5,300&메뉴 이름: 광화문 소세지 피자빵 가격: 3,800&메뉴 이름: 베이컨 샌드위치 가격: 6,300&메뉴 이름: 쇼콜라 크루아상 가격: 4,000&메뉴 이름: 플레인스콘 가격: 1,600&메뉴 이름: 의성마늘6쪽빵 가격: 4,600&메뉴 이름: 앙버터 프레첼 가격: 5,000&메뉴 이름: 무화과 깜빠뉴 가격: 4,500&메뉴 이름: 그린올리브 깜빠뉴 가격: 2,800&메뉴 이름: 시나몬롤 가격: 4,200&메뉴 이름: 빨미까레 가격: 4,000&메뉴 이름: 크루아상 가격: 3,500&메뉴 이름: 뺑오쇼콜라 가격: 3,800&메뉴 이름: 르방바게뜨 가격: 3,800&메뉴 이름: 크루아상 샌드위치 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F531C6ED3CECB4A0392B26097E9ECCE4B,
13,강서구,470408699,스타벅스 화곡DT점,3.5,28건,서울 강서구 등촌로 57,강서구 화곡4동,"영업시간&월~금 07:00 ~ 21:00&토,일 07:30 ~ 22:00&이용시 주의 사항&2022-03-21 Drive Thru 운영시간 07:00 ~ 21:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD8C0426164634938926A7BEDE582665B,
14,강서구,1170011529,익스큐즈미,3.4,16건,서울 강서구 마곡동로 56 건와빌딩 1층,강서구 가양1동,영업시간&월~금 07:00 ~ 23:00&토 08:00 ~ 23:00&일 09:00 ~ 23:00,070-4247-2019,www.instagram.com/cafe_excuse_me,#카페 #카카오페이 #제로페이,"메뉴 이름: 에스프레소 가격: 4,000&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 벨르밀크 가격: 6,500&메뉴 이름: 딸기주스 가격: 6,000&메뉴 이름: 허브티 가격: 4,500&메뉴 이름: 뭉게치케 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1E95A35594A44083BEF58F73A7F2C2CA,
15,강서구,1593193993,인라이크,4.8,16건,서울 강서구 양천로30길 103,강서구 가양1동,영업시간&월~목 11:00 ~ 20:30&금~일 11:30 ~ 21:00,070-7789-3344,www.instagram.com/_inlike,#디저트카페 #감성카페 #디저트카페 #레터링케이크 #분위기좋은 #수제케이크 #케이크주문제작 #제로페이,"메뉴 이름: 아메리카노 가격: 2,900&메뉴 이름: 카페라떼 가격: 3,600&메뉴 이름: 딸기라떼 가격: 6,900&메뉴 이름: 자몽에이드 가격: 6,500&메뉴 이름: 얼그레이티 가격: 4,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F374462C15E494B75923770BC7D237E6C,
16,강서구,1433534125,스타벅스 마곡나루,3.9,16건,서울 강서구 마곡중앙로 161-17,강서구 가양1동,"영업시간&화~금 07:00 ~ 22:00&토,일 08:00 ~ 22:00&월 07:00 ~ 20:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5144C9B8D283486686C892DC07E4B088,
17,강서구,482613052,스타벅스 방화DT,3.5,30건,서울 강서구 방화대로 375,강서구 방화1동,영업시간&매일 07:00 ~ 22:00&이용시 주의 사항&2022-03-21 Drive Thru 운영시간 07:00 ~ 22:00,1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F88C9972B7F4E43898FAAC4431F342E25,
18,강서구,1384786431,벌툰 까치산역점,5.0,2건,서울 강서구 강서로 43 2층 201호,강서구 화곡1동,영업시간&매일 10:00 ~ 23:00,070-7612-0018,www.beoltoon.co.kr,#만화카페 #데이트코스 #만화카페 #보드게임카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,000&메뉴 이름: 카페라떼 가격: 3,500&메뉴 이름: 녹차라떼 가격: 4,000&메뉴 이름: 얼그레이 가격: 3,500&메뉴 이름: 핑크레몬스무디 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0BDE96C15CA94B08B1C9579830C6748F,
19,강서구,76277836,스타벅스 마곡사이언스타워R,3.4,22건,서울 강서구 마곡동로 62,강서구 가양1동,"영업시간&월~금 07:00 ~ 21:00&토,일 09:00 ~ 21:00",1522-3232,www.starbucks.co.kr,#커피전문점 #데이트코스 #로스팅전문 #핸드드립전문점 #카카오페이,"메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",,
